Country,State_Name,Years_in_US,Education_Group,Total_People,Sum_Mortgages,Sum_Income,Sum_Rent,Total_Renters,State_Rent_Benchmark,Mortgaged_Ownership_Rate,Avg_Income,Avg_Rent_Paid_Renters,Rent_Performance_Ratio
Bangladesh,Arkansas,5,5_College+ (Bachelor or Higher),528.0,0.0,12472280.0,286690.0,528.0,687.6879434948625,0.0,23621.742424242424,542.9734848484849,0.789563769417082
Bangladesh,Arkansas,18,3_HS Graduate,436.0,0.0,4161000.0,142350.0,219.0,687.6879434948625,0.0,9543.577981651377,650.0,0.9451961549546287
Bangladesh,Arkansas,26,5_College+ (Bachelor or Higher),102.0,0.0,3060000.0,51000.0,102.0,687.6879434948625,0.0,30000.0,500.0,0.7270739653497145
Bangladesh,California,0,1_Low (No/Primary),679.0,225.0,1787500.0,353280.0,286.0,1532.5372706520725,33.136966126656844,2632.5478645066273,1235.2447552447552,0.806012864352184
Bangladesh,California,0,2_Some High School,279.0,64.0,0.0,420500.0,215.0,1532.5372706520725,22.939068100358423,0.0,1955.8139534883721,1.2761934022369332
Bangladesh,California,0,3_HS Graduate,927.0,94.0,2812000.0,1644500.0,663.0,1532.5372706520725,10.140237324703344,3033.4412081984897,2480.392156862745,1.618487331017649
Bangladesh,California,0,5_College+ (Bachelor or Higher),2792.0,389.0,16656000.0,3185420.0,2319.0,1532.5372706520725,13.932664756446991,5965.616045845272,1373.6179387667098,0.8963031210211646
Bangladesh,California,1,1_Low (No/Primary),928.0,171.0,4437000.0,1123900.0,757.0,1532.5372706520725,18.426724137931032,4781.25,1484.6763540290622,0.9687701450793127
Bangladesh,California,1,2_Some High School,582.0,0.0,0.0,862500.0,582.0,1532.5372706520725,0.0,0.0,1481.958762886598,0.9669968824027658
Bangladesh,California,1,3_HS Graduate,1282.0,404.0,5466000.0,965700.0,785.0,1532.5372706520725,31.513260530421217,4263.6505460218405,1230.1910828025477,0.8027152790085942
Bangladesh,California,1,4_Some College,1433.0,176.0,7201800.0,2026600.0,1105.0,1532.5372706520725,12.28192602930914,5025.680390788555,1834.027149321267,1.1967259683941747
Bangladesh,California,1,5_College+ (Bachelor or Higher),5427.0,1246.0,149721520.0,7466850.0,3742.0,1532.5372706520725,22.959277685645844,27588.266077022297,1995.4168893639765,1.3020348200177574
Bangladesh,California,2,1_Low (No/Primary),110.0,0.0,2775000.0,97500.0,65.0,1532.5372706520725,0.0,25227.272727272728,1500.0,0.9787690183624518
Bangladesh,California,2,2_Some High School,461.0,0.0,2560000.0,461000.0,461.0,1532.5372706520725,0.0,5553.145336225596,1000.0,0.6525126789083011
Bangladesh,California,2,3_HS Graduate,944.0,535.0,3111000.0,732600.0,409.0,1532.5372706520725,56.67372881355932,3295.5508474576272,1791.19804400978,1.1687794341521307
Bangladesh,California,2,4_Some College,398.0,177.0,540000.0,795600.0,221.0,1532.5372706520725,44.472361809045225,1356.78391959799,3600.0,2.3490456440698844
Bangladesh,California,2,5_College+ (Bachelor or Higher),3294.0,974.0,71435120.0,3175350.0,1846.0,1532.5372706520725,29.568913175470552,21686.435944140863,1720.124593716143,1.1224031067017735
Bangladesh,California,3,1_Low (No/Primary),352.0,26.0,4869800.0,492000.0,326.0,1532.5372706520725,7.386363636363637,13834.65909090909,1509.20245398773,0.9847737362665158
Bangladesh,California,3,2_Some High School,236.0,0.0,0.0,383710.0,236.0,1532.5372706520725,0.0,0.0,1625.8898305084747,1.0609137289148485
Bangladesh,California,3,3_HS Graduate,1403.0,46.0,13416500.0,2470320.0,1357.0,1532.5372706520725,3.278688524590164,9562.72273699216,1820.427413411938,1.1878519682835331
Bangladesh,California,3,4_Some College,215.0,59.0,383300.0,221060.0,156.0,1532.5372706520725,27.44186046511628,1782.7906976744187,1417.051282051282,0.9246439282017247
Bangladesh,California,3,5_College+ (Bachelor or Higher),2840.0,452.0,143721900.0,3874120.0,2065.0,1532.5372706520725,15.91549295774648,50606.30281690141,1876.087167070218,1.2241706632504734
