CONTROL,WEIGHT,TENURE,INCOME,RENT,MORT_AMT,HOME_VAL,MOVE_YEAR,DIVISION,METRO,TOTROOMS,PERPOVLVL,SOURCE,SURVEY_YEAR,IS_OWNER,IS_RENTER,EDU_TIER,YEARS_US,DIV_MEDIAN_RENT,Rp,LATE_PAYMENT_FLAG,EVICTION_THREAT,HOUSING_DISTRESS,E_norm,T_norm,HC_WCI
11040720,2976.9466383,2,29600.0,1200.0,,,2005.0,9,31080,6,164.0,AHS_2023,2023,0,1,4.0,18.0,1700.0,0.7058823529411765,,,,0.75,0.6,0.6852941176470589
11040723,3192.7737106,2,38000.0,1700.0,,,2016.0,9,31080,4,107.0,AHS_2023,2023,0,1,3.0,7.0,1700.0,1.0,0.0,0.0,0.0,0.5,0.23333333333333334,0.5777777777777778
11040726,2895.3427072,1,122000.0,,,953519.0,1995.0,9,31080,5,233.0,AHS_2023,2023,1,0,1.0,28.0,1700.0,,,,,0.0,0.9333333333333333,
11040729,2624.9921557,1,133400.0,,,671569.0,1988.0,9,31080,7,360.0,AHS_2023,2023,1,0,2.0,30.0,1700.0,,,,,0.25,1.0,
11040734,3339.4723605,2,59700.0,1500.0,,,1998.0,9,31080,4,191.0,AHS_2023,2023,0,1,3.0,25.0,1700.0,0.8823529411764706,,,,0.5,0.8333333333333334,0.738562091503268
11040740,2965.7140696,1,136000.0,,2346.0,869754.0,2010.0,9,31080,7,501.0,AHS_2023,2023,1,0,4.0,13.0,1700.0,,,,,0.75,0.43333333333333335,
11040744,2411.2837717,2,12600.0,970.0,,,2020.0,9,31080,1,70.0,AHS_2023,2023,0,1,4.0,3.0,1700.0,0.5705882352941176,0.0,0.0,0.0,0.75,0.1,0.4735294117647059
11040745,3068.3445758,1,151520.0,,1819.0,692381.0,2017.0,9,31080,5,501.0,AHS_2023,2023,1,0,5.0,6.0,1700.0,,0.0,,0.0,1.0,0.2,
11040746,3743.7325296,1,186000.0,,3009.0,1063649.0,2020.0,9,31080,6,501.0,AHS_2023,2023,1,0,5.0,3.0,1700.0,,0.0,,0.0,1.0,0.1,
11040750,2751.0047331,1,396000.0,,2510.0,1935099.0,1999.0,9,31080,8,501.0,AHS_2023,2023,1,0,5.0,24.0,1700.0,,0.0,,0.0,1.0,0.8,
11040751,2609.605568,1,63900.0,,,829364.0,1994.0,9,31080,7,204.0,AHS_2023,2023,1,0,5.0,29.0,1700.0,,,,,1.0,0.9666666666666667,
11040752,3297.59697,1,70000.0,,1897.0,743177.0,2008.0,9,31080,6,299.0,AHS_2023,2023,1,0,5.0,15.0,1700.0,,0.0,,0.0,1.0,0.5,
11040753,3228.5607609,2,38000.0,900.0,,,2013.0,9,31080,4,190.0,AHS_2023,2023,0,1,3.0,10.0,1700.0,0.5294117647058824,,,,0.5,0.3333333333333333,0.45424836601307184
11040755,2624.9921557,2,36000.0,1600.0,,,1999.0,9,31080,4,250.0,AHS_2023,2023,0,1,5.0,24.0,1700.0,0.9411764705882353,,,,1.0,0.8,0.9137254901960784
11040756,1603.5081013,,,,,,,9,31080,2,,AHS_2023,2023,0,0,,,1700.0,,,,,,,
11040759,2388.999544,1,45600.0,,,987349.0,1989.0,9,31080,8,148.0,AHS_2023,2023,1,0,1.0,30.0,1700.0,,,,,0.0,1.0,
11040761,2624.9921557,3,5600.0,,,,1955.0,9,31080,7,39.0,AHS_2023,2023,0,0,1.0,30.0,1700.0,,,,,0.0,1.0,
11040762,2751.0047331,1,154500.0,,666.0,1119306.0,2018.0,9,31080,6,501.0,AHS_2023,2023,1,0,5.0,5.0,1700.0,,,,,1.0,0.16666666666666666,
11040763,2877.4053855,1,0.0,,,309409.0,2014.0,9,31080,5,1.0,AHS_2023,2023,1,0,5.0,9.0,1700.0,,,,,1.0,0.3,
11040764,2069.0939867,1,102000.0,,,650303.0,2012.0,9,31080,5,332.0,AHS_2023,2023,1,0,5.0,11.0,1700.0,,,,,1.0,0.36666666666666664,
11040767,2965.7140696,1,310000.0,,3425.0,727954.0,2022.0,9,31080,5,501.0,AHS_2023,2023,1,0,5.0,1.0,1700.0,,,,,1.0,0.03333333333333333,
11040769,3707.9364496,2,85000.0,2100.0,,,2021.0,9,31080,4,425.0,AHS_2023,2023,0,1,4.0,2.0,1700.0,1.2352941176470589,0.0,0.0,0.0,0.75,0.06666666666666667,0.6839869281045753
11040770,2953.5067923,2,55000.0,3100.0,,,2022.0,9,31080,6,266.0,AHS_2023,2023,0,1,4.0,1.0,1700.0,1.8235294117647058,,,,0.75,0.03333333333333333,0.868954248366013
11040772,2261.784423,1,8900.0,,,1035219.0,1995.0,9,31080,7,62.0,AHS_2023,2023,1,0,3.0,28.0,1700.0,,,,,0.5,0.9333333333333333,
11040773,2035.2409283,1,26300.0,,,739883.0,1991.0,9,31080,6,184.0,AHS_2023,2023,1,0,4.0,30.0,1700.0,,,,,0.75,1.0,
11040777,2069.0939867,3,1700.0,,,,2012.0,9,31080,6,9.0,AHS_2023,2023,0,0,3.0,11.0,1700.0,,,,,0.5,0.36666666666666664,
11040778,2352.3284877,1,54500.0,,1394.0,327695.0,1998.0,9,31080,7,272.0,AHS_2023,2023,1,0,5.0,25.0,1700.0,,0.0,,0.0,1.0,0.8333333333333334,
11040782,1603.5081013,,,,,2340872.0,,9,31080,10,,AHS_2023,2023,0,0,,,1700.0,,,,,,,
11040783,902.69867821,2,129000.0,2100.0,,,2018.0,9,31080,5,426.0,AHS_2023,2023,0,1,2.0,5.0,1700.0,1.2352941176470589,,,,0.25,0.16666666666666666,0.5506535947712419
11040784,2624.9921557,3,49900.0,,,,2000.0,9,31080,6,161.0,AHS_2023,2023,0,0,2.0,23.0,1700.0,,,0.0,,0.25,0.7666666666666667,
11040785,2339.4841,1,26400.0,,,617591.0,1999.0,9,31080,6,185.0,AHS_2023,2023,1,0,4.0,24.0,1700.0,,,,,0.75,0.8,
11040787,733.9421881,2,30000.0,1200.0,,,1969.0,9,31080,4,72.0,AHS_2023,2023,0,1,4.0,30.0,1700.0,0.7058823529411765,1.0,1.0,1.0,0.75,1.0,0.8186274509803922
11040788,3228.5607609,1,140000.0,,,683209.0,1996.0,9,31080,5,327.0,AHS_2023,2023,1,0,1.0,27.0,1700.0,,,,,0.0,0.9,
11040789,2751.0047331,1,421000.0,,1824.0,3371240.0,2011.0,9,31080,7,501.0,AHS_2023,2023,1,0,4.0,12.0,1700.0,,,,,0.75,0.4,
11040790,2339.4841,2,173000.0,3000.0,,,2015.0,9,31080,6,358.0,AHS_2023,2023,0,1,4.0,8.0,1700.0,1.7647058823529411,,,,0.75,0.26666666666666666,0.9271241830065359
