yy1,y1,WEIGHT,hhsex,age,agecl,educ,edcl,race,lf,married,kids,INCOME,inccat,NETWORTH,nwcat,housecl,mrthel,rent,turndown,turnfear,late,checking,saving,fin,debt,SURVEY_YEAR,SOURCE,IS_OWNER,IS_RENTER,CREDIT_EXCLUDED,EDU_TIER,Rp
2244,22441,5106.7310973136755,1,64,4,8,2,2,0,2,0,36587.672394458685,2,2086.569536423841,1,2,0.0,,0,0,0,0.0,0.0,2086.569536423841,0.0,2019,SCF,0,1,0.0,3,
2245,22451,6196.713716455829,1,45,3,8,2,1,1,1,3,212444.54938717946,5,242685.42516556292,3,1,206338.5430463576,,0,0,1,8694.039735099337,3483.411920529801,35361.55761589404,266095.5761589404,2019,SCF,1,0,0.0,3,
2246,22461,4745.887242748013,1,38,2,13,4,3,1,1,0,198281.5794280342,5,123223.52317880794,2,2,0.0,1970.6490066225165,0,0,0,34776.15894039735,0.0,164491.23178807946,41267.708609271525,2019,SCF,0,1,0.0,5,0.11926366608378315
2247,22471,31.369795764953665,1,58,4,12,4,1,1,1,0,1994618.2692462963,6,27600098.54304636,5,1,0.0,,0,0,0,5216.423841059603,144900.66225165562,4221246.092715232,0.0,2019,SCF,1,0,0.0,5,
2248,22481,10048.160076749251,1,92,6,8,2,5,0,1,0,42866.589076346434,2,548118.6331125827,4,2,0.0,,0,0,0,1738.8079470198675,0.0,38068.30198675497,0.0,2019,SCF,0,1,0.0,3,
2249,22491,6205.946301144437,1,67,5,12,4,2,0,1,0,52639.03834815669,2,342394.4688741722,3,1,26661.721854304637,,0,0,0,579.6026490066225,6375.6291390728475,35935.3642384106,33616.953642384105,2019,SCF,1,0,0.0,5,
2250,22501,6783.595471671161,1,43,2,8,2,1,1,1,2,138088.95710166666,4,28400.529801324505,2,1,114761.32450331126,,0,0,0,1159.205298013245,0.0,4636.82119205298,192428.0794701987,2019,SCF,1,0,0.0,3,
2251,22511,5433.863967463232,1,49,3,8,2,2,1,1,1,129827.22462549857,4,245554.4582781457,3,1,216771.39072847684,,1,1,0,0.0,10432.847682119205,199383.31125827815,233197.3298013245,2019,SCF,1,0,1.0,3,
2253,22531,2589.426310756024,1,59,4,13,4,1,1,1,0,367056.9714411823,6,3456634.2781456956,5,1,75348.34437086093,,0,0,0,0.0,177010.64900662252,3009181.0331125828,75348.34437086093,2019,SCF,1,0,0.0,5,
2254,22541,5930.605733857017,1,38,2,10,3,1,1,1,2,110943.26467997151,4,105024.0,2,1,105487.6821192053,,0,0,0,3245.774834437086,2550.251655629139,9273.64238410596,130178.75496688741,2019,SCF,1,0,0.0,4,
2255,22551,7284.909251008231,1,49,3,9,3,1,1,1,2,109763.01718337607,4,116500.13245033112,2,1,231841.059602649,,0,0,0,2318.41059602649,3477.615894039735,12171.655629139073,252706.7549668874,2019,SCF,1,0,0.0,4,
2256,22561,2229.0428083210327,1,30,1,9,3,1,1,1,2,306864.34911481483,6,6619722.998675496,5,1,0.0,,0,0,0,6375.6291390728475,19590.56953642384,3247397.7218543044,24725.849006622517,2019,SCF,1,0,0.0,4,
2257,22571,6698.186532717128,2,62,4,8,2,2,0,2,0,61372.869822962966,3,442862.7920529801,3,1,0.0,,0,0,0,4984.582781456954,46.3682119205298,178911.74569536422,13446.781456953642,2019,SCF,1,0,0.0,3,
2258,22581,5123.266396574547,1,56,4,12,4,2,0,2,0,95600.04722423077,4,755801.8543046358,4,1,231841.059602649,,0,0,0,34776.15894039735,0.0,402244.23841059604,231841.059602649,2019,SCF,1,0,0.0,5,
2259,22591,557.8988982838968,1,54,3,13,4,1,1,1,2,488622.4635905128,6,5876591.258278145,5,1,1321494.0397350993,,0,0,0,69552.3178807947,973732.4503311259,3587160.794701987,1603180.927152318,2019,SCF,1,0,0.0,5,
